"15.05.2020 23:41:39";"BeforeStart";"[WARNING]: LogFileCreatingNew"
"15.05.2020 23:41:41";"admin";"[INFO]: StartSystem"
"15.05.2020 23:41:46";"admin";"[INFO]: EnterBooks"
"15.05.2020 23:41:48";"admin";"[INFO]: ShutdownSystem"
"16.05.2020 00:04:51";"admin";"[INFO]: StartSystem"
"16.05.2020 00:04:52";"admin";"[INFO]: EnterBooks"
"16.05.2020 00:06:02";"admiin";"[WARNING]: loginFailed"
"16.05.2020 00:06:04";"admin";"[INFO]: StartSystem"
"16.05.2020 00:06:06";"admin";"[INFO]: EnterBooks"
"16.05.2020 00:06:16";"admin";"[INFO]: StartSystem"
"16.05.2020 00:06:17";"admin";"[INFO]: EnterBooks"
"16.05.2020 00:08:23";"admin";"[INFO]: StartSystem"
"16.05.2020 00:08:23";"admin";"[INFO]: EnterBooks"
"16.05.2020 00:09:11";"admin";"[INFO]: StartSystem"
"16.05.2020 00:09:13";"admin";"[INFO]: EnterBooks"
"16.05.2020 00:09:14";"admin";"[INFO]: ShutdownSystem"
"16.05.2020 00:16:08";"admin";"[INFO]: StartSystem"
"16.05.2020 00:16:10";"admin";"[INFO]: EnterStudents"
"16.05.2020 00:17:10";"admin";"[INFO]: StartSystem"
"16.05.2020 00:17:12";"admin";"[INFO]: EnterStudents"
